01-07-2020 18:18:39.126,-,AT," ,0013A20040F7BEFB,XBEE 802.15.4,10EF,COM4 - 9600/8/N/1/N,1"

01-07-2020 18:18:30.496,2114,RECV,35352E33360D0A3335352E33360D0A3335352E33360D0A3335352E33360D0A3335342E37310D0A3335342E37310D
01-07-2020 18:18:30.640,2115,RECV,0A3335342E37310D0A3335342E37310D0A3335352E31330D0A3335352E31330D0A3335352E31330D0A3335352E31
01-07-2020 18:18:30.640,2116,RECV,330D0A3335352E31330D0A3335352E31330D0A3335352E31330D0A3335342E37310D0A3335342E37310D0A333534
01-07-2020 18:18:30.652,2117,RECV,2E37310D0A3335342E37310D0A3335342E34370D0A3335342E34370D0A3335342E34370D0A3335342E34
01-07-2020 18:18:30.861,2118,RECV,310D0A3335342E36310D0A3335342E36310D0A3335342E38300D0A3335342E38300D0A33
01-07-2020 18:18:30.913,2119,RECV,35342E38300D0A3335342E38300D0A3335342E34370D0A3335342E34370D0A3335342E34370D0A3335342E34370D
01-07-2020 18:18:31.061,2120,RECV,0A3335342E39300D0A3335342E39300D0A33
01-07-2020 18:18:31.381,2121,RECV,35342E38360D0A3335342E38360D0A3335342E38360D0A3335352E31
01-07-2020 18:18:31.473,2122,RECV,300D0A3335352E31300D0A3335352E31300D0A3335352E31300D0A3335352E30300D0A3335352E30300D0A333535
01-07-2020 18:18:31.653,2123,RECV,2E30300D0A3335352E30300D0A3335352E30300D0A3335352E30
01-07-2020 18:18:31.693,2124,RECV,350D0A3335332E37320D0A3335332E37320D0A33
01-07-2020 18:18:31.869,2125,RECV,35332E37320D0A3335332E37320D0A3335332E37320D0A3335332E37320D0A3335332E37320D0A3335332E37320D
01-07-2020 18:18:31.873,2126,RECV,0A3335322E39370D0A3335322E39370D0A3335322E39370D0A3335322E39370D0A33
01-07-2020 18:18:31.901,2127,RECV,390D0A3335322E33390D0A3335322E33390D0A3335322E33390D0A3335322E33390D0A33
01-07-2020 18:18:31.953,2128,RECV,35322E33390D0A3335322E33390D0A3335322E33390D0A3335322E33390D0A3335322E33390D0A3335322E33390D
01-07-2020 18:18:32.049,2129,RECV,0A3335312E36330D0A3335312E36330D0A33
01-07-2020 18:18:32.525,2130,RECV,350D0A3335302E36350D0A3335302E36350D0A3335302E3635
01-07-2020 18:18:32.577,2131,RECV,0D0A3335302E36350D0A3335302E36350D0A3335312E31360D0A3335312E31360D0A3335312E31360D0A3335312E
01-07-2020 18:18:32.925,2132,RECV,31360D0A3335312E31360D0A3335312E31360D0A3335312E31360D0A33
01-07-2020 18:18:33.133,2133,RECV,390D0A3335322E32390D0A3335322E32390D0A33
01-07-2020 18:18:33.137,2134,RECV,35322E32390D0A3335322E32310D0A3335322E32310D0A3335322E32310D0A3335322E32310D0A3335322E31320D
01-07-2020 18:18:33.137,2135,RECV,0A3335322E31320D0A3335322E31320D0A3335322E31320D0A3335322E31320D0A3335322E31320D0A3335322E31
01-07-2020 18:18:33.137,2136,RECV,320D0A3335322E31320D0A3335312E35330D0A3335312E35330D0A3335312E35330D0A3335312E35330D0A333532
01-07-2020 18:18:33.137,2137,RECV,2E30350D0A3335322E30350D0A3335322E30350D0A3335322E30350D0A3335312E35360D0A3335312E35
01-07-2020 18:18:33.877,2138,RECV,35332E30370D0A3335332E30370D0A3335332E30370D
01-07-2020 18:18:33.929,2139,RECV,0A3335332E30370D0A3335332E30370D0A3335332E30370D0A3335332E37350D0A3335332E39340D0A3335332E3934
01-07-2020 18:18:34.037,2140,RECV,0D0A3335332E39340D0A3335332E39340D0A3335332E39340D0A3335332E39
01-07-2020 18:18:34.085,2141,RECV,35342E38360D0A3335352E31330D0A3335
01-07-2020 18:18:34.221,2142,RECV,352E31330D0A3335352E31330D0A3335352E31330D0A3335352E38390D0A3335352E38390D0A3335352E38390D0A
01-07-2020 18:18:34.221,2143,RECV,3335352E38390D0A3335362E31310D0A3335362E31310D0A3335362E31310D0A3335362E31
01-07-2020 18:18:34.397,2144,RECV,340D0A3335362E30340D0A3335362E
01-07-2020 18:18:34.449,2145,RECV,30340D0A3335362E31340D0A3335362E31340D0A3335362E31340D0A3335362E31340D0A3335362E31340D0A3335362E31340D0A3335362E31340D0A33
01-07-2020 18:18:34.501,2146,RECV,35362E31340D0A3335362E31340D0A3335362E31340D0A33
01-07-2020 18:18:34.917,2147,RECV,35382E36300D0A3335382E36300D0A3335382E36300D
01-07-2020 18:18:34.969,2148,RECV,0A3335382E36300D0A3335382E36300D0A3335382E36300D0A3335382E36300D0A3335382E36300D0A3335382E36
01-07-2020 18:18:35.089,2149,RECV,300D0A3335382E36300D0A302E31370D0A302E31370D0A302E31370D0A302E31370D0A302E31370D0A302E38330D
01-07-2020 18:18:35.089,2150,RECV,0A302E38330D0A302E38330D0A302E38330D0A302E38330D0A302E37360D0A302E37360D0A302E37360D0A302E37360D0A302E37360D0A302E37360D0A30
01-07-2020 18:18:35.125,2151,RECV,2E37360D0A302E37360D0A302E37360D0A302E37360D0A312E37320D0A312E35390D0A312E35390D0A
01-07-2020 18:18:35.177,2152,RECV,312E35390D0A312E35390D0A312E35390D0A312E35390D0A312E35390D0A312E35390D0A312E35390D0A312E3539
01-07-2020 18:18:35.269,2153,RECV,0D0A302E37340D0A302E37340D0A302E37340D0A302E37340D0A302E37340D0A312E32330D0A312E32330D0A312E
01-07-2020 18:18:35.281,2154,RECV,32330D0A312E32330D0A312E32330D0A312E32330D0A312E32330D0A312E32330D0A312E32330D0A312E32330D0A312E31300D0A312E31300D0A312E3130
01-07-2020 18:18:35.333,2155,RECV,0D0A312E31300D0A312E31300D0A312E31300D0A312E31300D0A312E31
01-07-2020 18:18:35.465,2156,RECV,2E34310D0A312E34310D0A312E34
01-07-2020 18:18:35.489,2157,RECV,310D0A312E34310D0A312E34310D0A312E34310D0A312E34310D0A312E35340D0A312E35340D0A312E35340D0A312E35340D0A312E35340D0A312E35340D
01-07-2020 18:18:35.541,2158,RECV,0A312E35340D0A312E35340D0A312E35340D0A312E35340D
01-07-2020 18:18:36.478,2159,RECV,0A392E36390D0A392E
01-07-2020 18:18:36.530,2160,RECV,36390D0A392E36390D0A392E36390D0A392E36390D0A392E36390D0A31302E35350D0A31302E39300D0A31302E39300D0A31302E39300D0A31302E3930
01-07-2020 18:18:36.662,2161,RECV,0D0A31312E33370D0A31312E33370D0A31312E33370D0A31312E33370D0A31312E38340D0A31312E38340D0A31312E
01-07-2020 18:18:36.662,2162,RECV,38340D0A31312E38340D0A31312E38340D0A31312E35360D0A31312E35360D0A31312E35360D0A31312E35360D0A
01-07-2020 18:18:36.687,2163,RECV,31322E33310D0A31322E33310D0A31322E33310D0A31322E33310D0A31322E33310D0A31332E30360D0A31332E30
01-07-2020 18:18:36.739,2164,RECV,360D0A31332E30360D0A31332E30360D0A31332E30360D0A31332E30360D0A31332E30360D0A31332E30360D0A31332E30360D0A31332E30360D0A3133
01-07-2020 18:18:36.859,2165,RECV,2E30360D0A31332E30360D0A31332E30360D0A31332E30360D0A31332E30360D0A31332E30360D0A31332E30360D0A
01-07-2020 18:18:36.859,2166,RECV,31332E30360D0A31332E30360D0A31332E30360D0A31332E30360D0A31332E30360D0A31332E31370D0A31332E31
01-07-2020 18:18:36.894,2167,RECV,370D0A31332E31370D0A31332E31370D0A31332E37330D0A31332E35340D0A31332E35340D0A31332E35340D0A31
01-07-2020 18:18:36.946,2168,RECV,332E35340D0A31332E37330D0A31332E37330D0A31332E37330D0A31332E37330D0A31332E37330D0A31332E37330D0A31332E37330D0A31332E37330D
01-07-2020 18:18:37.067,2169,RECV,0A31332E37330D0A31332E38310D0A31332E38310D0A31332E38310D0A31332E38310D0A31332E38390D0A31332E38
01-07-2020 18:18:37.067,2170,RECV,390D0A31332E38390D0A31332E38390D0A31332E38390D0A31332E37300D0A31332E37300D0A31332E37300D0A31
01-07-2020 18:18:37.103,2171,RECV,332E37300D0A31332E37300D0A31332E37300D0A31332E37300D0A31332E37300D0A31332E37300D0A31332E3730
01-07-2020 18:18:37.155,2172,RECV,0D0A31332E37300D0A31332E37300D0A31332E37300D0A31332E37300D0A31332E37300D0A31332E37300D0A31332E37300D0A31342E32340D0A31342E
01-07-2020 18:18:37.270,2173,RECV,30350D0A31342E30350D0A31342E30350D0A31342E30350D0A31332E38360D0A31332E38360D0A31332E38360D0A
01-07-2020 18:18:37.270,2174,RECV,31332E38360D0A31342E33320D0A31342E33320D0A31342E33320D0A31342E33320D0A31342E33320D0A31342E3538
01-07-2020 18:18:37.311,2175,RECV,0D0A31342E35380D0A31342E35380D0A31342E35380D0A31342E38350D0A31342E38350D0A31342E38350D0A3134
01-07-2020 18:18:37.362,2176,RECV,2E38350D0A31342E38350D0A31342E35380D0A31342E35380D0A31342E35380D0A31342E35380D0A31342E35380D0A31342E35380D0A31342E35380D0A
01-07-2020 18:18:37.458,2177,RECV,31342E35380D0A31342E35380D0A31342E35380D0A31342E35380D0A31342E35380D0A31342E35380D0A31342E35
01-07-2020 18:18:37.466,2178,RECV,380D0A31342E35380D0A31342E35380D0A31342E35380D0A31342E35380D0A31342E35380D0A31342E35380D0A3134
01-07-2020 18:18:37.518,2179,RECV,2E35380D0A31342E35380D0A31362E35370D0A31362E35370D0A31362E35370D0A31362E35370D0A31362E38330D
01-07-2020 18:18:37.646,2180,RECV,0A31372E30340D0A31372E30340D0A31372E30340D0A31372E30340D0A31372E34360D0A31372E34360D0A31372E34360D0A31372E34360D0A31382E31
01-07-2020 18:18:37.646,2181,RECV,350D0A31382E31350D0A31382E31350D0A31382E31350D0A31382E31350D0A31382E31350D0A31382E31350D0A31
01-07-2020 18:18:37.675,2182,RECV,382E31350D0A31382E31350D0A31382E38350D0A31382E38350D0A31382E38350D0A31382E38350D0A31382E38350D
01-07-2020 18:18:37.726,2183,RECV,0A31382E38350D0A31382E38350D0A31382E38350D0A31382E38350D0A31382E38350D0A31382E38350D0A31382E
01-07-2020 18:18:37.843,2184,RECV,38350D0A31382E38350D0A31382E38350D0A31382E38350D0A31382E38350D0A31382E38350D0A31382E38350D0A31382E38350D0A31382E38350D0A31
01-07-2020 18:18:37.843,2185,RECV,382E38350D0A31382E38350D0A32302E33370D0A32312E32380D0A32312E32380D0A32312E32380D0A32312E3238
01-07-2020 18:18:37.883,2186,RECV,0D0A32302E38320D0A32302E38320D0A32302E38320D0A32302E38320D0A32312E30350D0A32312E30350D0A32312E
01-07-2020 18:18:37.934,2187,RECV,30350D0A32312E30350D0A32312E30350D0A32302E38320D0A32302E38320D0A32302E38320D0A32302E38320D0A
01-07-2020 18:18:38.018,2188,RECV,32312E35360D0A32312E35360D0A32312E35360D0A32312E35360D0A32312E35360D0A32302E38360D0A32302E38360D0A32302E38360D0A32302E3836
01-07-2020 18:18:38.038,2189,RECV,0D0A32302E38360D0A32302E38360D0A32302E38360D0A32302E38360D0A32302E38360D0A32302E38360D0A3230
01-07-2020 18:18:38.090,2190,RECV,2E38360D0A32302E38360D0A32302E38360D0A32302E38360D0A32302E38360D0A32302E38360D0A32302E38360D
01-07-2020 18:18:38.206,2191,RECV,0A32302E38360D0A32302E38360D0A32302E38360D0A32302E38360D0A32302E38360D0A32312E36300D0A32312E36
01-07-2020 18:18:38.206,2192,RECV,300D0A32312E36300D0A32312E36300D0A32312E36300D0A32312E33380D0A32312E33380D0A32312E33380D0A32312E33380D0A32312E38350D0A3231
01-07-2020 18:18:38.247,2193,RECV,2E38350D0A32312E38350D0A32312E38350D0A32322E32390D0A32322E32390D0A32322E32390D0A32322E32390D
01-07-2020 18:18:38.399,2194,RECV,0A32322E32390D0A32322E33300D0A32322E33300D0A32322E33300D0A32322E33300D0A32322E39380D0A32322E
01-07-2020 18:18:38.399,2195,RECV,39380D0A32322E39380D0A32322E39380D0A32322E39380D0A32322E37350D0A32322E37350D0A32322E37350D0A32
01-07-2020 18:18:38.403,2196,RECV,322E37350D0A32332E36360D0A32332E36360D0A32332E36360D0A32332E36360D0A32332E36360D0A32332E36360D0A32332E36360D0A32332E36360D
01-07-2020 18:18:38.455,2197,RECV,0A32332E36360D0A32332E36360D0A32332E36360D0A32332E36360D0A32332E36360D0A32332E36360D0A32332E
01-07-2020 18:18:38.567,2198,RECV,36360D0A32332E36360D0A32332E36360D0A32332E36360D0A32332E36360D0A32332E36360D0A32332E36360D0A
01-07-2020 18:18:38.567,2199,RECV,32332E36360D0A32332E36360D0A32332E36360D0A32332E36360D0A32332E36360D0A32332E36360D0A32342E3537
01-07-2020 18:18:38.610,2200,RECV,0D0A32342E35370D0A32342E35370D0A32342E35370D0A32352E30340D0A32352E30340D0A32352E30340D0A32352E30340D0A32352E30340D0A32352E
01-07-2020 18:18:38.747,2201,RECV,30330D0A32352E30330D0A32352E30330D0A32352E30330D0A32352E37320D0A32352E37320D0A32352E37320D0A
01-07-2020 18:18:38.747,2202,RECV,32352E37320D0A32352E37320D0A32352E34390D0A32352E34390D0A32352E34390D0A32352E34390D0A32352E34
01-07-2020 18:18:38.766,2203,RECV,390D0A32352E34390D0A32352E34390D0A32352E34390D0A32352E34390D0A32352E34390D0A32352E34390D0A32
01-07-2020 18:18:38.819,2204,RECV,352E34390D0A32352E34390D0A32352E34390D0A32352E34390D0A32352E34390D0A32352E34390D0A32352E34390D0A32352E34390D0A32352E34390D0A
