01-07-2020 18:23:18.142,-,AT," ,0013A20040F7BEFB,XBEE 802.15.4,10EF,COM4 - 9600/8/N/1/N,1"

01-07-2020 18:23:04.675,2447,RECV,310D0A37382E38380D0A37382E38380D0A37382E38380D0A37382E38380D0A37382E38380D0A37382E39340D0A37
01-07-2020 18:23:04.675,2448,RECV,382E39340D0A37382E39340D0A37382E39340D0A37392E32350D0A37392E32350D0A37392E32350D0A37392E3235
01-07-2020 18:23:04.715,2449,RECV,0D0A37392E32350D0A37392E36380D0A37392E36380D0A37392E36380D0A37392E36380D0A37392E36380D0A37392E36380D0A37392E36380D0A37392E36
01-07-2020 18:23:04.767,2450,RECV,380D0A37392E36380D0A38302E30360D0A38302E30360D0A38302E30360D0A38302E30360D0A38302E30360D0A38
01-07-2020 18:23:04.859,2451,RECV,302E30360D0A38302E30360D0A38302E30360D0A38302E30360D0A38302E30360D0A38302E30360D0A38302E3036
01-07-2020 18:23:04.871,2452,RECV,0D0A38302E30360D0A38302E30360D0A38302E30360D0A38302E30360D0A38302E30360D0A38302E30360D0A3830
01-07-2020 18:23:04.923,2453,RECV,2E30360D0A38302E30360D0A38302E30360D0A38302E30360D0A38302E33370D0A38302E33370D0A38302E33370D0A38302E33370D0A38302E36380D0A38
01-07-2020 18:23:05.067,2454,RECV,302E36380D0A38302E36380D0A38302E36380D0A38302E36380D0A38312E33310D0A38312E33310D0A38312E3331
01-07-2020 18:23:05.067,2455,RECV,0D0A38312E33310D0A38302E39330D0A38302E39330D0A38302E39330D0A38302E39330D0A38302E39330D0A3831
01-07-2020 18:23:05.079,2456,RECV,2E36320D0A38312E36320D0A38312E36320D0A38312E36320D0A38312E37310D0A38312E37310D0A38312E37310D
01-07-2020 18:23:05.131,2457,RECV,0A38312E37310D0A38312E37310D0A38312E34300D0A38312E34300D0A38312E34300D0A38312E34300D0A38312E34300D0A38312E34300D0A38312E3430
01-07-2020 18:23:05.239,2458,RECV,0D0A38312E34300D0A38312E34300D0A38322E30310D0A38322E30310D0A38322E30310D0A38322E30310D0A3832
01-07-2020 18:23:05.239,2459,RECV,2E30310D0A38322E30310D0A38322E30310D0A38322E30310D0A38322E30310D0A38322E30310D0A38322E30310D
01-07-2020 18:23:05.287,2460,RECV,0A38322E30310D0A38322E30310D0A38322E30310D0A38322E30310D0A38322E30310D0A38322E30310D0A38322E
01-07-2020 18:23:05.419,2461,RECV,30310D0A38322E30310D0A38322E30310D0A38322E30310D0A38322E30310D0A38302E39360D0A38302E39360D0A38302E39360D0A38302E39360D0A3831
01-07-2020 18:23:05.423,2462,RECV,2E31300D0A38302E37390D0A38302E37390D0A38302E37390D0A38302E37390D0A38302E34380D0A38
01-07-2020 18:23:05.443,2463,RECV,302E34380D0A38302E34380D0A38302E34380D0A38302E30350D0A38302E30350D0A38302E30350D0A38302E3035
01-07-2020 18:23:05.495,2464,RECV,0D0A38302E30350D0A37392E36320D0A37392E36320D0A37392E36320D0A37392E36320D0A37392E36320D0A3739
01-07-2020 18:23:05.619,2465,RECV,2E36320D0A37392E36320D0A37392E36320D0A37392E36320D0A37392E36380D0A37392E36380D0A37392E36380D0A37392E36380D0A37392E36380D0A37
01-07-2020 18:23:05.619,2466,RECV,392E36380D0A37392E36380D0A37392E36380D0A37392E36380D0A37392E33370D0A37392E33370D0A37392E3337
01-07-2020 18:23:05.651,2467,RECV,0D0A37392E33370D0A37392E33370D0A37392E33370D0A37392E33370D0A37392E33370D0A37392E33370D0A3739
01-07-2020 18:23:05.703,2468,RECV,2E33370D0A37392E33370D0A37392E33370D0A37392E33370D0A37392E33370D0A37392E33370D0A37392E33370D
01-07-2020 18:23:05.803,2469,RECV,0A37392E33370D0A37392E33370D0A37392E33370D0A37392E33370D0A37392E33370D0A37392E33370D0A38312E31370D0A38312E31370D0A38312E31
01-07-2020 18:23:05.807,2470,RECV,370D0A38312E31370D0A38312E31370D0A38312E34380D0A38312E34380D0A38312E34380D0A38312E34380D0A3831
01-07-2020 18:23:05.859,2471,RECV,2E37380D0A38312E37380D0A38312E37380D0A38312E37380D0A38312E39340D0A38312E39340D0A38312E39340D
01-07-2020 18:23:05.999,2472,RECV,0A38312E39340D0A38312E39340D0A38322E30390D0A38322E30390D0A38322E30390D0A38322E30390D
01-07-2020 18:23:06.015,2473,RECV,302E33350D0A38302E33350D0A38302E33350D0A3830
01-07-2020 18:23:06.067,2474,RECV,2E33350D0A38302E33350D0A38302E33350D0A38302E33350D0A38302E33350D0A38302E33350D0A38302E33350D
01-07-2020 18:23:06.187,2475,RECV,0A38302E33350D0A38302E33350D0A38302E33350D0A38302E33350D0A38302E33350D0A38302E3335
