01-07-2020 18:25:52.679,-,AT," ,0013A20040F7BEFB,XBEE 802.15.4,10EF,COM4 - 9600/8/N/1/N,1"

01-07-2020 18:25:32.823,1419,RECV,2E36300D0A39312E36300D0A39312E36300D0A39312E36300D0A39312E36300D0A39312E36300D0A39312E36300D
01-07-2020 18:25:32.875,1420,RECV,0A39312E36300D0A39312E36300D0A39312E36300D0A39312E36300D0A39312E36300D0A39312E36300D0A39312E
01-07-2020 18:25:32.999,1421,RECV,36300D0A39312E36300D0A39312E36300D0A39312E36300D0A39312E36300D0A39312E36300D0A39312E36300D0A39312E36300D0A39312E36300D0A3931
01-07-2020 18:25:32.999,1422,RECV,2E31300D0A39312E31300D0A39312E31300D0A39312E31300D0A39312E31300D0A39312E33350D0A39312E33350D
01-07-2020 18:25:33.031,1423,RECV,0A39312E33350D0A39312E33350D0A39302E38340D0A39302E38340D0A39302E38340D0A39302E38340D0A39302E
01-07-2020 18:25:33.083,1424,RECV,37340D0A39312E32340D0A39312E32340D0A39312E32340D0A39312E32340D0A39312E33350D0A39312E33350D0A
01-07-2020 18:25:33.183,1425,RECV,39312E3335
01-07-2020 18:25:33.187,1426,RECV,39322E33340D0A39322E37300D0A39322E3730
01-07-2020 18:25:33.239,1427,RECV,0D0A39322E37300D0A39322E37300D0A39332E30360D0A39332E30360D0A39332E30360D0A39332E30360D0A3933
01-07-2020 18:25:33.355,1428,RECV,2E30360D0A39332E30360D0A39332E30360D0A39332E30360D0A39332E30360D0A3933
01-07-2020 18:25:33.355,1429,RECV,2E30360D0A39332E30360D0A39332E30360D0A39332E30360D0A39332E30360D0A39332E37390D0A39332E37390D0A39332E37390D0A39332E
01-07-2020 18:25:33.395,1430,RECV,37390D0A39332E37390D0A39332E37390D0A39332E37390D0A39332E37390D0A39332E37390D0A39332E37
01-07-2020 18:25:33.499,1431,RECV,0A39332E3739
01-07-2020 18:25:33.551,1432,RECV,0D0A39332E37390D0A39332E36380D0A39342E36340D0A39342E36340D0A39342E36340D0A39342E36340D0A39342E35320D0A39342E35320D0A39342E
01-07-2020 18:25:33.603,1433,RECV,35320D0A39342E35320D0A39342E36340D0A39342E36340D0A39342E36340D0A39342E36340D0A3934
01-07-2020 18:25:33.735,1434,RECV,2E36340D0A39342E37360D0A39342E37360D0A39342E37360D0A39342E37360D0A39352E30300D0A39352E30300D
01-07-2020 18:25:33.735,1435,RECV,0A39352E30300D0A39352E30300D0A39352E30300D0A39352E31320D0A39352E31320D0A39352E31320D0A39352E
01-07-2020 18:25:33.759,1436,RECV,31320D0A39342E38380D0A39342E38380D0A39342E38380D0A39342E38380D0A39342E38380D0A39352E33360D0A39352E33360D0A39352E33360D0A3935
01-07-2020 18:25:33.811,1437,RECV,2E33360D0A39352E33360D0A39352E33360D0A39352E33360D0A39352E33360D0A39352E33360D0A39352E33360D
01-07-2020 18:25:33.915,1438,RECV,0A39352E33360D0A39352E33360D0A39352E33360D0A39352E33360D0A39352E33360D0A39352E33360D0A39352E
01-07-2020 18:25:33.915,1439,RECV,33360D0A39352E33360D0A39352E33360D0A39352E33360D0A39352E33360D0A39352E33360D0A39352E30300D0A
01-07-2020 18:25:33.967,1440,RECV,39352E30300D0A39352E30300D0A39352E30300D0A39342E38380D0A39342E31350D0A39342E31350D0A39342E31350D0A39342E31350D0A39332E37380D
