01-07-2020 13:59:07.039,-,AT," ,0013A20040F7BEFB,XBEE 802.15.4,10EF,COM3 - 9600/8/N/1/N,1,23"

01-07-2020 13:58:57.414,160,RECV,2E34350D0A372E34350D0A372E35390D0A372E35390D0A372E35390D0A372E35390D0A372E35390D0A382E32320D
01-07-2020 13:58:57.544,161,RECV,0A382E32320D0A382E32320D0A382E32320D0A382E32320D0A382E32320D0A382E32320D0A382E32320D0A382E32
01-07-2020 13:58:57.544,162,RECV,320D0A382E32320D0A382E32320D0A382E32320D0A382E32320D0A382E32320D0A382E32320D0A382E32320D0A382E
01-07-2020 13:58:57.566,163,RECV,32320D0A382E32320D0A382E32320D0A382E32320D0A382E32320D0A382E32320D0A382E32320D0A382E32320D0A
01-07-2020 13:58:57.616,164,RECV,382E32320D0A31392E33350D0A31392E33350D0A31392E33350D0A31392E33350D0A31392E33350D0A32312E36340D0A32312E36340D0A32312E36340D
01-07-2020 13:58:57.719,165,RECV,0A32312E36340D0A32332E31370D0A32332E31370D0A32332E31370D0A32332E31370D0A32332E39340D0A32332E
01-07-2020 13:58:57.719,166,RECV,39340D0A32332E39340D0A32332E39340D0A32332E39340D0A32342E37310D0A32342E37310D0A32342E37310D0A
01-07-2020 13:58:57.769,167,RECV,32342E37310D0A32342E34330D0A32342E34330D0A32342E34330D0A32342E34330D0A32352E34330D0A32352E3433
01-07-2020 13:58:57.855,168,RECV,0D0A32352E34330D0A32352E34330D0A32352E34330D0A32352E34330D0A32352E34330D0A32352E34330D0A3235
01-07-2020 13:58:57.870,169,RECV,2E34330D0A32382E34350D0A32382E34350D0A32382E34350D0A32382E34350D0A33302E37380D0A33302E37380D
01-07-2020 13:58:57.920,170,RECV,0A33302E37380D0A33302E37380D0A33302E37380D0A33302E37380D0A33302E37380D0A33302E37380D0A33302E37380D0A33352E32340D0A33352E32
01-07-2020 13:58:58.027,171,RECV,340D0A33352E32340D0A33352E32340D0A33352E39330D0A33352E39330D0A33352E39330D0A33352E39330D0A33
01-07-2020 13:58:58.027,172,RECV,352E39330D0A33352E39330D0A33352E39330D0A33352E39330D0A33352E39330D0A33372E31370D0A33372E31370D
01-07-2020 13:58:58.072,173,RECV,0A33372E31370D0A33372E31370D0A33372E32330D0A33372E32330D0A33372E32330D0A33372E32330D0A33372E
01-07-2020 13:58:58.166,174,RECV,32330D0A33372E32330D0A33372E32330D0A33372E32330D0A33372E32330D0A33392E33380D0A33392E33380D0A
01-07-2020 13:58:58.174,175,RECV,33392E33380D0A33392E33380D0A34302E36310D0A34302E36310D0A34302E36310D0A34302E36310D0A34302E36
01-07-2020 13:58:58.225,176,RECV,310D0A34302E36310D0A34302E36310D0A34302E36310D0A34302E36310D0A34322E33350D0A34322E33350D0A34322E33350D0A34322E33350D0A3431
