02-02-2020 15:51:39.728,-,AT," ,0013A20040F7BEFB,XBEE 802.15.4, 347.00  347.00  347.00  347.00  347.00  347.00  347.00  347.00  347.00  347.00  347.68  347.68  347.68  347.68  347.00  347.00  347.00  347.00  347.88  347.88  347.88  347.88  347.00  347.00  347.00  347.00  347.78  347.78  347.78  347.78  347.68  347.68  347.68  347.68  348.18  348.18  348.18  348.18  347.09  347.09  347.09  347.09  347.68  347.68  347.68  347.68  347.78  347.78  347.78  347.78,COM4 - 9600/8/N/1/N,1"

02-02-2020 15:51:44.377,4443,RECV,0A3137392E31
02-02-2020 15:51:44.440,4444,RECV,370D0A3137372E36360D0A3137372E36360D0A3137372E36360D0A3137372E36360D0A3137352E32370D0A3137352E32370D0A3137352E32370D0A3137
02-02-2020 15:51:44.533,4445,RECV,352E32370D0A3137332E30300D0A3137332E30300D0A3137332E30300D0A313733
02-02-2020 15:51:55.107,4446,RECV,2E34330D0A3330312E34330D0A3330312E34330D0A3330
02-02-2020 15:51:55.170,4447,RECV,312E34330D0A3330332E33370D0A3330332E33370D0A3330332E33370D0A3330332E33370D0A3330342E37360D0A3330342E37360D0A3330342E37360D
02-02-2020 15:51:55.263,4448,RECV,0A3330342E37360D0A3330362E34350D
02-02-2020 15:51:56.170,4449,RECV,2E35320D0A3331352E35320D0A3331342E37310D0A3331342E37310D0A3331342E37310D0A3331342E37310D0A3331342E37310D0A
02-02-2020 15:51:56.233,4450,RECV,3331342E37310D0A3331342E37310D0A3331342E37310D0A3331342E32340D0A3331342E32340D0A3331342E32340D
02-02-2020 15:51:56.670,4451,RECV,0A3331342E33360D0A3331342E33360D0A3331352E32330D0A3331352E32
02-02-2020 15:51:56.732,4452,RECV,330D0A3331352E32330D0A3331352E32330D0A3331352E35350D0A3331352E35350D0A3331352E35350D0A3331352E35350D0A3331352E33350D0A333135
02-02-2020 15:51:56.834,4453,RECV,2E33350D0A333135
02-02-2020 15:51:56.975,4454,RECV,2E31320D0A3331352E31320D0A3331352E31320D0A3331352E31320D
02-02-2020 15:51:57.038,4455,RECV,0A3331352E31320D0A3331352E31320D0A3331352E31320D0A3331352E31320D0A3331352E31320D0A3331352E31320D0A3331352E31320D0A3331352E
02-02-2020 15:51:57.131,4456,RECV,31320D0A3331352E31320D
02-02-2020 15:51:57.163,4457,RECV,2E37360D0A3331
02-02-2020 15:51:57.225,4458,RECV,322E37360D0A3331322E37360D0A3331322E37360D0A3331322E39390D0A3331322E39390D0A3331322E39390D0A3331322E39390D0A3331322E38360D
02-02-2020 15:51:57.288,4459,RECV,0A3331322E38360D0A3331322E38360D0A3331322E38360D0A3331332E31390D
02-02-2020 15:51:58.038,4460,RECV,2E33320D0A3331362E33320D0A3331362E33320D0A3331362E33320D0A3331362E33320D0A3331362E3332
02-02-2020 15:51:58.100,4461,RECV,0D0A3331362E33320D0A3331342E31370D0A3331342E31370D0A3331342E31370D0A3331342E31370D0A3331332E35370D0A3331332E35370D
02-02-2020 15:51:58.350,4462,RECV,0A3330392E31300D0A3330382E33320D0A3330382E33320D0A3330382E33320D0A33
02-02-2020 15:51:58.414,4463,RECV,30382E33320D0A3330382E31380D0A3330382E31380D0A3330382E31380D0A3330382E31380D0A3330382E31380D0A3330382E31380D0A3330382E31380D
02-02-2020 15:51:58.507,4464,RECV,0A333038
02-02-2020 15:51:58.539,4465,RECV,0A3331332E36310D0A3331332E36310D0A3331332E36310D0A3330392E38390D0A3330
02-02-2020 15:51:58.601,4466,RECV,392E31380D0A3330392E31380D0A3330392E31380D0A3331362E32320D0A3331362E32320D0A3331362E32320D0A3331362E32320D0A3331342E39390D
02-02-2020 15:51:58.679,4467,RECV,0A333134
02-02-2020 15:51:58.851,4468,RECV,2E32300D0A3331302E3230
02-02-2020 15:51:58.913,4469,RECV,0D0A3330392E38310D0A3330392E38310D0A3330392E38310D0A3330392E38310D0A3330392E38310D0A3330392E38310D0A3330392E38310D0A3330392E
02-02-2020 15:51:58.976,4470,RECV,38310D0A3330392E38310D0A3330392E38310D0A3330392E38310D
02-02-2020 15:51:59.413,4471,RECV,0A3331312E32380D0A3331312E32380D0A3331312E32380D0A3331312E32380D0A3331312E32380D0A3331312E32380D0A33
02-02-2020 15:51:59.476,4472,RECV,31312E32380D0A3331312E32380D0A3331312E32380D0A3331312E32380D0A3331312E32380D0A3331312E32380D0A333131
02-02-2020 15:51:59.663,4473,RECV,2E
02-02-2020 15:51:59.726,4474,RECV,31380D0A3332342E34300D0A3332342E34300D0A3332342E34300D0A3332342E34300D0A3331392E35340D0A3331392E35340D0A3331392E35340D0A3331
02-02-2020 15:51:59.788,4475,RECV,392E35340D0A3331392E36320D0A3331392E36320D0A3331392E36320D0A3331392E36320D
02-02-2020 15:51:59.913,4476,RECV,2E31380D0A3332302E31380D0A3332302E31380D0A3332302E31
02-02-2020 15:51:59.976,4477,RECV,380D0A3332302E31380D0A3332302E31380D0A3332302E31380D0A3332302E31380D0A3332302E31380D0A3332302E31380D0A3332302E31380D0A333230
02-02-2020 15:52:00.030,4478,RECV,2E31380D0A3332302E31380D
02-02-2020 15:52:00.218,4479,RECV,0A3332382E36370D0A3332382E36370D0A3332332E34390D0A3332332E34390D0A3332332E3439
02-02-2020 15:52:00.280,4480,RECV,0D0A3332332E34390D0A3331382E31380D0A3331382E31380D0A3331382E31380D0A3331382E31380D0A3331382E32
02-02-2020 15:52:00.343,4481,RECV,390D0A3331382E32390D0A333138
02-02-2020 15:52:00.718,4482,RECV,2E39350D0A3331372E39350D0A333137
02-02-2020 15:52:00.780,4483,RECV,2E39350D0A3331372E39320D0A3331372E39320D0A3331372E39320D0A3331372E39320D0A3331382E35310D0A3331382E35310D0A3331382E35310D0A33
02-02-2020 15:52:00.843,4484,RECV,31382E35310D0A3331382E31320D0A3331382E31320D
02-02-2020 15:52:00.967,4485,RECV,2E36310D0A3331382E36310D0A3331382E36310D0A3331382E36310D0A3331382E36310D0A3331382E36
02-02-2020 15:52:01.030,4486,RECV,310D0A3331382E36310D0A3331382E36310D0A3331382E36310D0A3331382E36310D0A3331382E36310D0A3331382E36310D0A3331382E36310D
02-02-2020 15:52:01.280,4487,RECV,0A3331372E38380D0A3331372E38380D0A3331372E38380D0A3331372E38380D0A3331372E33340D0A3331372E33340D0A3331372E3334
02-02-2020 15:52:01.342,4488,RECV,0D0A3331372E33340D0A3331372E31300D0A3331372E31300D0A3331372E31300D0A3331372E31300D0A333136
02-02-2020 15:52:01.467,4489,RECV,0A3331362E31370D0A3331362E31370D0A3331362E31370D0A3331362E31370D0A33
02-02-2020 15:52:01.561,4490,RECV,31362E31370D0A3331362E31370D0A3331362E31370D0A3331362E31370D0A3331362E31370D0A3331362E31370D
02-02-2020 15:52:01.592,4491,RECV,0A3331352E32360D0A3331352E37340D0A3331352E37340D0A3331352E37340D0A3331362E31380D0A3331362E30390D0A3331362E30390D0A3331362E30
02-02-2020 15:52:01.655,4492,RECV,390D0A3331362E34360D0A3331362E34360D0A3331362E34360D0A3331362E34360D0A3331362E39300D0A3331362E39300D0A3331362E39300D
02-02-2020 15:52:01.780,4493,RECV,2E39380D0A3331382E38320D0A3331382E38320D0A3331382E38320D0A333138
02-02-2020 15:52:01.858,4494,RECV,2E38320D0A3331392E38300D0A3331392E38300D0A3331392E38300D0A3331392E38300D0A3332302E31300D0A3332302E31300D0A3332302E31300D0A
02-02-2020 15:52:01.905,4495,RECV,3332302E31300D
02-02-2020 15:52:01.967,4496,RECV,2E37330D0A3332312E3733
02-02-2020 15:52:02.030,4497,RECV,0D0A3332312E37330D0A3332312E37330D0A3332312E37330D0A3332312E37330D0A3332312E37330D0A3332312E37330D0A3332312E37330D0A333231
02-02-2020 15:52:02.092,4498,RECV,2E37330D0A3332312E37330D0A3332312E37330D0A3332312E37330D0A3332312E37330D0A3332312E37330D0A3332312E37330D0A3332332E30360D0A33
02-02-2020 15:52:02.155,4499,RECV,32332E30360D0A3332332E30360D0A3332332E30360D0A3332322E37380D0A3332322E37380D0A3332322E37380D
02-02-2020 15:52:02.206,4500,RECV,0A3332322E37380D0A3332322E36330D0A333232
02-02-2020 15:52:02.285,4501,RECV,0A3332312E30350D
02-02-2020 15:52:02.331,4502,RECV,0A3332312E30350D0A3332302E36310D0A3332302E36310D0A3332302E36310D0A3332302E36310D0A3331392E37340D0A3331392E37340D0A3331392E37
02-02-2020 15:52:02.394,4503,RECV,340D0A3331392E37340D0A3331382E34350D0A3331382E34350D0A333138
02-02-2020 15:52:02.519,4504,RECV,0A3331362E36360D0A3331362E36360D0A3331362E36360D0A3331362E36360D0A33
02-02-2020 15:52:02.582,4505,RECV,31362E36360D0A3331362E36360D0A3331362E36360D0A3331362E36360D0A3331332E37310D0A3331342E31350D0A3331342E31350D0A3331342E3135
02-02-2020 15:52:02.644,4506,RECV,0D0A3331332E34340D0A3331332E34340D0A3331332E34340D0A3331332E34340D0A3331332E37370D0A3331332E37370D0A3331332E37370D0A3331332E
02-02-2020 15:52:02.722,4507,RECV,37370D0A3331332E35320D0A3331332E35320D0A3331332E35320D0A3331332E35320D0A3331342E30370D
02-02-2020 15:52:02.831,4508,RECV,2E37380D0A3332312E37380D0A3332312E37380D0A3332332E35370D0A3332332E35370D0A3332332E35370D0A3332
02-02-2020 15:52:02.883,4509,RECV,332E35370D0A3331372E33320D0A3331372E33320D0A3331372E33320D0A3331372E33320D0A3331382E32360D0A
02-02-2020 15:52:02.945,4510,RECV,3331382E32360D
02-02-2020 15:52:03.008,4511,RECV,2E35370D0A3331392E3537
02-02-2020 15:52:03.070,4512,RECV,0D0A3331392E35370D0A3331392E35370D0A3331392E35370D0A3331392E35370D0A3331392E35370D0A3331392E35370D0A3331392E35370D0A333139
02-02-2020 15:52:03.149,4513,RECV,2E35370D0A3331392E35370D0A3331392E35370D0A3331392E35370D
02-02-2020 15:52:03.321,4514,RECV,0A3331392E39330D
02-02-2020 15:52:03.383,4515,RECV,0A3331392E39330D0A3331392E39330D0A3331392E39330D0A3331392E31380D0A3331392E31380D0A3331392E31380D0A3331392E31380D0A3332332E32
02-02-2020 15:52:03.445,4516,RECV,370D0A3332332E32370D0A3332332E32370D0A3332332E32370D0A3331372E32360D0A3331372E32360D0A3331372E32360D0A3331372E32360D0A3331
02-02-2020 15:52:03.508,4517,RECV,362E35320D0A3331362E35320D0A3331362E35320D0A3331362E35320D0A3331362E35320D0A3331362E35320D0A3331362E35320D0A3331362E35320D0A
